client_id	path	sentence	up_votes	down_votes	age	gender	accent
348d0215801a7c05ee07d009118f5d21e3b4a8a7d753c86ac8040178d1a9d4e60ec5430d1593d5a3adc68753b99b440ef014bd332e42edc76779af08a3a23272	common_voice_lv_19409371.mp3	Piedod, piedod. Vai sāp?	2	0			
b2a11379f1e979c6d5a9462b6630ca4d50e59cf3890811c4c935774c94246bf353490a457472bd35b6a8260b97a932cc70c0fbd89d34863f65ad9261f20430fe	common_voice_lv_19869505.mp3	Tu zini, tev būs jānāk pakaļ.	2	0	thirties	male	
e4ede74d8fda3d32a15961abafd319a120e59687e5db6ae67f64af42fd8e234217a158daec13c4098a5a4c2584f3736bf99543304b83abad768a490e7c4e7cec	common_voice_lv_19380826.mp3	Vai ne?	2	1	fourties	female	
e4ede74d8fda3d32a15961abafd319a120e59687e5db6ae67f64af42fd8e234217a158daec13c4098a5a4c2584f3736bf99543304b83abad768a490e7c4e7cec	common_voice_lv_19380829.mp3	Man vēl kaut kas jāizdara.	2	1	fourties	female	
fac54c292e4b6e3aeb57327559e80c956deaf5d844ce5f20262ad75e9f2905479848aa030aea9b88df697381a5b3021f67e0b4a7ec4c43146691eb180ab56e3c	common_voice_lv_19412855.mp3	Tu taču neko neproti.	2	0	thirties	male	
fac54c292e4b6e3aeb57327559e80c956deaf5d844ce5f20262ad75e9f2905479848aa030aea9b88df697381a5b3021f67e0b4a7ec4c43146691eb180ab56e3c	common_voice_lv_19454044.mp3	Tajā viesnīcā arī nekā nav.	2	0	thirties	male	
fac54c292e4b6e3aeb57327559e80c956deaf5d844ce5f20262ad75e9f2905479848aa030aea9b88df697381a5b3021f67e0b4a7ec4c43146691eb180ab56e3c	common_voice_lv_19454045.mp3	Kas tas?	2	1	thirties	male	
0a48beed1bbff2c74899b674a26fca5cdfb3b625ce7a3ac460f51494a2e4b2ddfdddc56a3b2cb06518a5b39287a6ed23afb78ab29a117a85b25dd7fa39e5379c	common_voice_lv_19614208.mp3	Uz redzi. Ejam, Robert.	2	0	fifties	female	
0a48beed1bbff2c74899b674a26fca5cdfb3b625ce7a3ac460f51494a2e4b2ddfdddc56a3b2cb06518a5b39287a6ed23afb78ab29a117a85b25dd7fa39e5379c	common_voice_lv_19614210.mp3	Mīļumiņ, ne tagad. Bet drīz, pavisam drīz.	2	0	fifties	female	
0a48beed1bbff2c74899b674a26fca5cdfb3b625ce7a3ac460f51494a2e4b2ddfdddc56a3b2cb06518a5b39287a6ed23afb78ab29a117a85b25dd7fa39e5379c	common_voice_lv_19614231.mp3	Kāp ārā no krēsla un palīdzi ievilkt mājā!	2	0	fifties	female	
